bird; птица
anxiety; тревожность
internalize; усвоить, впитывать
subconsciously; подсознательно
vet; проверять, ветеринар, исследовать, ветеринарный
consistent; последовательный, стабильный, постоянный
overcome; преодолеть
delve; копаться, углубиться, проникать
relevance; акиуальность, усместность, значимость, важность, актуальный, относящийся
validation; утверждение, подтверждение, одлбрение, проверочный
detrimental; губительный, вредный, пагубный, ущербный, убыточный
redundant; избыточный, черезмерный, лишний, резервный, излишний
bias; предвзятый, пристрастный, косой, предубеждение, предвзятость, уклон, смещение, отклонение, сдвиг, перекос
e.g.; например
mutual; взаимный, обоюдный, общий, совместный
proprietary; собственный, частный, личный, собствинеческий, собственность, собственник, запатентованный
abundance; обилие, достаток, избыток, избыточность, множество, большое колличество
commingle; смешанный,
bean up; увеличение штуцера скважины
tailored; приспособленный, адаптированный, специализированный, заказной
coherently; связанно, согласованно
vigorous; сильный, решительный, модшный, крепкий, бодрый, активный, интенсивный
amend; исправлять, дополнить, скорректировать, вносить правки
exempt; исключать, освобождать, изымать, освобожденный, освобождаемый, свободный
tentative; предварительный, пробный, временный, ориентировочный, предпологаемый.
implement; осущетвлять, реализвоать, воплотить, орудие, инструмент, выполнение, внедрение.
exhaustively; исчераывающе, полностью, тщательно, основательно
thoroughly; тщательно, основательно, детально, остоятельно
remedial; лечебный, восстановительный, целебный, корректирубщий
remedy; средство, лекарство, исправить, вылечить, устранить
swap; поменять местами, переставлять, менять, обмен, перестановка, мена
semblance; подобие, сходство
reduction; сокращение, снижение, уменьшение, восстановление, восстановительный
bailer; ковщ, черпак
defer; откладывать, отложить, отсрочить, уступть, подчиняться
obscure; смутный, неясный, малоизвестный, скрывать, затемнять, затенять, заслонять, затмевать
meticulous; дотошный, педантичный, тщательный, аккуратный, кропотливый
imply; подрузамевать, иметь ввиду, намекать, заключать в себе, означать, предпологать
aspire; стремится, мечтать
adjacent; смежный, примыкаюший, соседствующий, сопредельный, рядом, прилегающщий
judgment; суждение, мнение, оценка, решение, постановление
endorsement; поддержка, одобрение, согласование, утверждение
coax; уговаритвать, упрашивать, задбрить, выманить
subtle; тонкий, нежный, деликатный, искуссный, ловкий, утонченный, изощренный, изысканный
coercion; принуждение, понуждение, сдерживание, насилие
devoid; лишенный, не имеющий, чуждый, пустой
flattery; лесть, льстивый
exploit; эксплуатировать, исполтзовать, деяние, злоупотреблять
claim; заявление, претензия, требование, иск, завлять, требовать
close by; неподалеку, поблизости
perceive; воспринимать, осознавать, чуствовать, ощущать, осязать
coincident; совпадение, синхронный, совпадающий
decent; порядочный, пристойный, подходящий, достойно, благопристойный
redeem; выкупить, обменять, спасать, избавить, освободить
delight; восторг, восхищение, наслаждение, восхищаться, восторгаться
dodge; изворачиваться, петлять, хитрить, увернуться, уловка, увертка, уклонение
evade; уклониться, избегать, увернуться, объодить
shrink; давать усадку, уменьшаться, усыхать, сократиться, сужаться
consistent; последовательный, непротиворечивый, согласованный, совместимый, стойкий, отвечающий
mitigate; смягчить, уменьшать, снижать, умерить
adversity; неприятности, беда, несчасья, невзгода
resilience; упругость, эластичность, гибкость, жизнестойкость, устойчивость
erratic; неустойчивый, непостоянный, эксцентричный, блуждающий, сумасбродный
worse; хуже
vendor; продавец, поставщик, производитель, разработчик
overtake; обогнать, настичь, захватить, овладеть, охватить, поравняться
overrun; перерасход, переполнение, превышение, переливаться через край, наводнить, заполнить, захватить
intrinsic; присущий, свойственный, внутренний, существенный
endurance; выносливость, прочность, терпение, стойкость, выносливый, продолжительность
pounder; -
disseminate; распространять, распространить, рассеивать, рассеять
entail; повлечь, вызывать, предусматривать, означать, предпологать, подразумевать
# ---------------------------Words from Oppenheimer 2023 movie-------------------------------------
accusing; -
security clearance; -
charges; -
hounded; -
hint; -
rabid; -
hounded out of job; -
mere; -
mere mortals; -
shovel; -
pivoting; -
feasibility; -
take over; -
brass; -
woman sizer; -
compartmentalization; -
downplaying; -
ordnance; -
disdain; -
run into; -
moaning; -
treason; -
nominee; -
resent; -
convening; -
implosion; -
discretion; -
lever; -
trek; -
liaison; -
solicit; -
screw-up; -
draft; -
conceivably; -
interrogate; -
admissible; -
admit; -
persistent; -
deterrence; -
accuse; -
bandy; -
envisage; -
#-----------------------------------------------------------------------
